uniq_isos	iso_ensgs	iso_gnames	regulator
STARD6	ENSG00000174448	STARD6	0
SLC26A10	ENSG00000135502	SLC26A10	0
TBX1	ENSG00000184058	TBX1	1
LOC340357	ENSG00000254813	LOC340357	0
GOLGA6L1	ENSG00000278247	GOLGA6L1	0
TNNC2	ENSG00000101470	TNNC2	0
PRSS35	ENSG00000146250	PRSS35	0
ISM2	ENSG00000100593	ISM2	0
SLC28A3	ENSG00000197506	SLC28A3	0
KCNS2	ENSG00000156486	KCNS2	0
ZCCHC12	ENSG00000174460	ZCCHC12	0
HTR1D	ENSG00000179546	HTR1D	0
PCDHAC1	ENSG00000248383	PCDHAC1	0
OXGR1	ENSG00000165621	OXGR1	0
NEURL	unmapped-none	NEURL	0
CYP19A1	ENSG00000137869	CYP19A1	0
VIPR2	ENSG00000106018	VIPR2	0
HPCAL4	ENSG00000116983	HPCAL4	0
GFRA3	ENSG00000146013	GFRA3	0
NALCN	ENSG00000102452	NALCN	0
RFPL1-AS1	unmapped-none	RFPL1-AS1	0
PRAMEF20	ENSG00000204478	PRAMEF20	0
SCN2A	ENSG00000136531	SCN2A	0
PCDHB2	ENSG00000112852	PCDHB2	0
LMO1	ENSG00000166407	LMO1	0
NXPH4	ENSG00000182379	NXPH4	0
ZBTB8B	ENSG00000273274	ZBTB8B	1
PTPLA	unmapped-none	PTPLA	0
TUBB8	ENSG00000261456	TUBB8	0
KCNH4	ENSG00000089558	KCNH4	0
PKIA	ENSG00000171033	PKIA	0
ATP2B2	ENSG00000157087	ATP2B2	0
PCSK6	ENSG00000140479	PCSK6	0
UPK3B	ENSG00000276184	UPK3B	0
PCDHB11	ENSG00000197479	PCDHB11	0
GLDC	ENSG00000178445	GLDC	0
NOVA1	ENSG00000139910	NOVA1	0
LOC255167	unmapped-none	LOC255167	0
DLL3	ENSG00000090932	DLL3	0
GSTM5	ENSG00000134201	GSTM5	0
CCNA1	ENSG00000133101	CCNA1	0
GPC3	ENSG00000147257	GPC3	0
CDHR1	ENSG00000148600	CDHR1	0
CHL1	ENSG00000134121	CHL1	0
PURG	ENSG00000172733	PURG	1
CD22	ENSG00000012124	CD22	0
CABP4	ENSG00000175544	CABP4	0
HBA2	unmapped-many	HBA2	0
PCDHB3	ENSG00000113205	PCDHB3	0
LOC285629	unmapped-none	LOC285629	0
IL6	ENSG00000136244	IL6	0
DNAJB13	ENSG00000187726	DNAJB13	0
FAM166A	ENSG00000188163	FAM166A	0
IGSF1	ENSG00000147255	IGSF1	0
UCHL1	ENSG00000154277	UCHL1	0
LRRN1	ENSG00000175928	LRRN1	0
ZBED2	ENSG00000177494	ZBED2	1
PCDHB6	ENSG00000113211	PCDHB6	0
DUSP9	ENSG00000130829	DUSP9	0
LCN2	ENSG00000148346	LCN2	0
OR4N4	ENSG00000183706	OR4N4	0
FAM84A	ENSG00000162981	FAM84A	0
KLHDC8A	ENSG00000162873	KLHDC8A	0
GDF1	unmapped-many	GDF1	0
KRT23	ENSG00000263309	KRT23	0
COX6B2	ENSG00000160471	COX6B2	0
CXCL2	ENSG00000081041	CXCL2	0
LRG1	ENSG00000171236	LRG1	0
ACRV1	ENSG00000134940	ACRV1	0
CRIP3	ENSG00000146215	CRIP3	0
WNT2B	ENSG00000134245	WNT2B	0
FXYD1	ENSG00000266964	FXYD1	0
DLX5	ENSG00000105880	DLX5	1
PCDHB19P	ENSG00000262096	PCDHB19P	0
ACSM1	ENSG00000166743	ACSM1	0
PCDHB7	ENSG00000113212	PCDHB7	0
DTNA	ENSG00000134769	DTNA	0
JPH4	ENSG00000092051	JPH4	0
MAPK10	ENSG00000109339	MAPK10	0
PDZK1IP1	ENSG00000162366	PDZK1IP1	0
S100A1	ENSG00000160678	S100A1	0
KANK4	ENSG00000132854	KANK4	0
CYP4F11	ENSG00000171903	CYP4F11	0
NELL2	ENSG00000184613	NELL2	0
PRRX1	ENSG00000116132	PRRX1	1
OR11H6	ENSG00000176219	OR11H6	0
SNORA15	unmapped-many	SNORA15	0
GUCY2C	ENSG00000070019	GUCY2C	0
PNMA2	ENSG00000240694	PNMA2	0
SSTR1	ENSG00000139874	SSTR1	0
CLCNKB	ENSG00000184908	CLCNKB	0
SLC35F1	ENSG00000196376	SLC35F1	0
RAB27B	ENSG00000041353	RAB27B	0
SIGLEC11	ENSG00000161640	SIGLEC11	0
FAM107A	ENSG00000168309	FAM107A	0
FTHL17	ENSG00000132446	FTHL17	0
FAM163A	unmapped-many	FAM163A	0
F10	ENSG00000126218	F10	0
PGM5	ENSG00000154330	PGM5	0
COL21A1	ENSG00000124749	COL21A1	0
ABCA13	ENSG00000179869	ABCA13	0
THBS4	ENSG00000113296	THBS4	0
CAMK1G	ENSG00000008118	CAMK1G	0
PRLR	ENSG00000113494	PRLR	0
LOC100128164	ENSG00000239219	LOC100128164	0
CASQ2	ENSG00000118729	CASQ2	0
KIAA1324L	ENSG00000164659	KIAA1324L	0
ARC	ENSG00000198576	ARC	0
MUM1L1	ENSG00000157502	MUM1L1	0
HAPLN4	ENSG00000187664	HAPLN4	0
ADAMTSL3	ENSG00000156218	ADAMTSL3	0
HBB	ENSG00000244734	HBB	0
GAS2	ENSG00000148935	GAS2	0
MARK1	ENSG00000116141	MARK1	0
ADAMTS8	ENSG00000134917	ADAMTS8	0
PCDHB9	ENSG00000177839	PCDHB9	0
PYGO1	ENSG00000171016	PYGO1	0
KCTD16	ENSG00000183775	KCTD16	0
CRISPLD1	ENSG00000121005	CRISPLD1	0
RASGRF1	ENSG00000058335	RASGRF1	0
SLC6A17	ENSG00000197106	SLC6A17	0
MSI1	ENSG00000135097	MSI1	0
CLDND2	ENSG00000160318	CLDND2	0
ADAM22	ENSG00000008277	ADAM22	0
TP63	ENSG00000073282	TP63	1
HBA1	ENSG00000206172	HBA1	0
SLC13A4	ENSG00000164707	SLC13A4	0
C1QL1	ENSG00000131094	C1QL1	0
APLP1	ENSG00000105290	APLP1	0
ALOX15B	ENSG00000179593	ALOX15B	0
NRXN2	ENSG00000110076	NRXN2	0
MAP1LC3C	ENSG00000197769	MAP1LC3C	0
ITGB6	ENSG00000115221	ITGB6	0
LOC440040	ENSG00000205035	LOC440040	0
VNN1	ENSG00000112299	VNN1	0
STL	unmapped-none	STL	0
FAT2	ENSG00000086570	FAT2	0
NEB	ENSG00000183091	NEB	0
SH2D4B	ENSG00000178217	SH2D4B	0
C3	ENSG00000125730	C3	0
ELOVL4	ENSG00000118402	ELOVL4	0
TMSB15B	unmapped-many	TMSB15B	0
GNG4	ENSG00000282972	GNG4	0
LOC148709	ENSG00000234996	LOC148709	0
CYS1	ENSG00000205795	CYS1	0
CCDC48	unmapped-none	CCDC48	0
SUSD2	ENSG00000099994	SUSD2	0
OR2T3	ENSG00000278377	OR2T3	0
MUC16	ENSG00000181143	MUC16	0
SPON1	ENSG00000262655	SPON1	0
FLRT3	ENSG00000125848	FLRT3	0
SYT1	ENSG00000067715	SYT1	0
FGF13	ENSG00000129682	FGF13	0
TNFRSF11B	ENSG00000164761	TNFRSF11B	0
SLC9A2	ENSG00000115616	SLC9A2	0
MTUS2	ENSG00000132938	MTUS2	0
LRAT	ENSG00000121207	LRAT	0
ADRA2B	ENSG00000274286	ADRA2B	0
EYA2	ENSG00000064655	EYA2	0
LOC151174	ENSG00000186235	LOC151174	0
C8orf48	ENSG00000164743	C8orf48	0
MLXIPL	ENSG00000009950	MLXIPL	1
ANPEP	ENSG00000166825	ANPEP	0
TMEM233	ENSG00000224982	TMEM233	0
KBTBD11	ENSG00000273645	KBTBD11	0
CYP7B1	ENSG00000172817	CYP7B1	0
FAM181A-AS1	ENSG00000281032	FAM181A-AS1	0
C8orf4	ENSG00000176907	C8orf4	0
C17orf104	unmapped-none	C17orf104	0
LOC283404	unmapped-none	LOC283404	0
MSC	ENSG00000178860	MSC	1
SLC27A6	ENSG00000113396	SLC27A6	0
CA12	ENSG00000074410	CA12	0
CP	ENSG00000047457	CP	0
HKDC1	ENSG00000156510	HKDC1	0
PDE4C	ENSG00000105650	PDE4C	0
MCOLN3	ENSG00000055732	MCOLN3	0
TMEM108	ENSG00000144868	TMEM108	0
TNXB	ENSG00000236236	TNXB	0
ADD2	ENSG00000075340	ADD2	0
BVES	ENSG00000112276	BVES	0
ZNF423	ENSG00000102935	ZNF423	1
OLFM2	ENSG00000105088	OLFM2	0
MLPH	ENSG00000115648	MLPH	0
DDN	ENSG00000181418	DDN	0
SOX30	ENSG00000039600	SOX30	1
ANKRD35	ENSG00000198483	ANKRD35	0
LIPC	ENSG00000166035	LIPC	0
PKDCC	ENSG00000162878	PKDCC	0
CERS1	ENSG00000223802	CERS1	0
ACVR1C	ENSG00000123612	ACVR1C	0
SH2D5	ENSG00000189410	SH2D5	0
SERPINE2	ENSG00000135919	SERPINE2	0
PCDHB10	ENSG00000120324	PCDHB10	0
DUSP15	ENSG00000149599	DUSP15	0
MACC1	ENSG00000183742	MACC1	0
ENTPD3	ENSG00000168032	ENTPD3	0
GPR162	ENSG00000250510	GPR162	0
KIT	ENSG00000157404	KIT	0
NUDT11	ENSG00000196368	NUDT11	0
SLC4A11	ENSG00000088836	SLC4A11	0
CLU	ENSG00000120885	CLU	0
PCDHB16	ENSG00000272674	PCDHB16	0
DLGAP3	ENSG00000116544	DLGAP3	0
PSORS1C1	ENSG00000235487	PSORS1C1	0
FOS	ENSG00000170345	FOS	1
CBLN1	ENSG00000102924	CBLN1	0
AFF3	ENSG00000144218	AFF3	0
PPY	ENSG00000108849	PPY	0
NBEA	ENSG00000172915	NBEA	0
FOLR1	ENSG00000110195	FOLR1	0
SLC34A2	ENSG00000157765	SLC34A2	0
C1orf186	ENSG00000263961	C1orf186	0
NAALAD2	ENSG00000077616	NAALAD2	0
RNF39	ENSG00000237733	RNF39	0
LOC285205	unmapped-none	LOC285205	0
MESP2	ENSG00000188095	MESP2	1
VENTXP1	ENSG00000259849	VENTXP1	0
PKD1L2	ENSG00000166473	PKD1L2	0
PTCH2	ENSG00000117425	PTCH2	0
CPT1C	ENSG00000169169	CPT1C	0
CHI3L1	ENSG00000133048	CHI3L1	0
MAOB	ENSG00000069535	MAOB	0
ZSWIM5	ENSG00000162415	ZSWIM5	0
MGC16121	unmapped-none	MGC16121	0
ADAM11	ENSG00000073670	ADAM11	0
LAMA2	ENSG00000196569	LAMA2	0
GPC2	ENSG00000213420	GPC2	0
RND2	ENSG00000108830	RND2	0
ASB12	ENSG00000198881	ASB12	0
DPY19L2	ENSG00000177990	DPY19L2	0
IL15	ENSG00000164136	IL15	0
SLPI	ENSG00000124107	SLPI	0
FAM9B	ENSG00000177138	FAM9B	0
VSIG1	ENSG00000101842	VSIG1	0
INHA	ENSG00000123999	INHA	0
ITPKA	ENSG00000137825	ITPKA	0
FBXO17	ENSG00000282954	FBXO17	0
NDUFA4L2	ENSG00000185633	NDUFA4L2	0
LOC100133612	unmapped-none	LOC100133612	0
CIITA	ENSG00000179583	CIITA	0
BIRC3	ENSG00000023445	BIRC3	0
EFNB3	ENSG00000108947	EFNB3	0
LAMP5	ENSG00000125869	LAMP5	0
SULT6B1	ENSG00000138068	SULT6B1	0
RASD1	ENSG00000108551	RASD1	0
UGT1A8	ENSG00000242366	UGT1A8	0
PCDHB12	ENSG00000120328	PCDHB12	0
PYGM	ENSG00000068976	PYGM	0
SERTAD4	ENSG00000281230	SERTAD4	0
RNF157	ENSG00000141576	RNF157	0
SLC18A2	ENSG00000165646	SLC18A2	0
LINC00235	unmapped-none	LINC00235	0
SEMA6A	ENSG00000092421	SEMA6A	0
GDF15	ENSG00000130513	GDF15	0
ZNF711	ENSG00000147180	ZNF711	1
NECAB1	ENSG00000123119	NECAB1	0
WHAMMP2	ENSG00000282540	WHAMMP2	0
NR4A3	ENSG00000119508	NR4A3	1
ZCCHC18	ENSG00000166707	ZCCHC18	0
MET	ENSG00000105976	MET	0
PCDHAC2	ENSG00000243232	PCDHAC2	0
GALNT14	ENSG00000158089	GALNT14	0
SLC4A4	ENSG00000080493	SLC4A4	0
ADRA2C	ENSG00000184160	ADRA2C	0
PCDHB18	unmapped-none	PCDHB18	0
HSD11B1	ENSG00000117594	HSD11B1	0
B4GALNT1	ENSG00000135454	B4GALNT1	0
ANKRD53	ENSG00000144031	ANKRD53	0
SYCE1L	ENSG00000205078	SYCE1L	0
PEG10	ENSG00000242265	PEG10	0
MTNR1B	ENSG00000134640	MTNR1B	0
PRSS16	ENSG00000112812	PRSS16	0
PRAME	ENSG00000275013	PRAME	0
TCF7L1	ENSG00000152284	TCF7L1	1
SLC15A2	ENSG00000163406	SLC15A2	0
C1QTNF4	ENSG00000172247	C1QTNF4	0
ASPHD1	ENSG00000174939	ASPHD1	0
DIRAS3	ENSG00000162595	DIRAS3	0
CPXM1	ENSG00000088882	CPXM1	0
SLC16A9	ENSG00000165449	SLC16A9	0
ARSJ	ENSG00000180801	ARSJ	0
GNAL	ENSG00000141404	GNAL	0
TRIM9	ENSG00000100505	TRIM9	0
IL11	ENSG00000095752	IL11	0
HLF	ENSG00000108924	HLF	1
FADS2	ENSG00000134824	FADS2	0
CT47B1	ENSG00000236446	CT47B1	0
VENTX	ENSG00000151650	VENTX	1
MYOM1	ENSG00000101605	MYOM1	0
FGF12	ENSG00000114279	FGF12	0
CFB	ENSG00000243649	CFB	0
FGF11	ENSG00000283903	FGF11	0
SIGLEC16	ENSG00000161643	SIGLEC16	0
MST1R	ENSG00000164078	MST1R	0
FAM43B	ENSG00000183114	FAM43B	0
ST6GALNAC2	ENSG00000070731	ST6GALNAC2	0
ZP2	ENSG00000284588	ZP2	0
FMN1	ENSG00000282513	FMN1	0
HPCA	ENSG00000121905	HPCA	0
F2RL3	ENSG00000127533	F2RL3	0
GBP3	ENSG00000117226	GBP3	0
GPIHBP1	ENSG00000277494	GPIHBP1	0
GSPT2	ENSG00000189369	GSPT2	0
LYVE1	ENSG00000133800	LYVE1	0
ZC4H2	ENSG00000126970	ZC4H2	0
MYLK2	ENSG00000101306	MYLK2	0
FAM19A3	ENSG00000184599	FAM19A3	0
HEATR7B2	unmapped-none	HEATR7B2	0
KCNK17	ENSG00000124780	KCNK17	0
RASL11B	ENSG00000128045	RASL11B	0
SAMD5	ENSG00000203727	SAMD5	0
FBXO27	ENSG00000283021	FBXO27	0
CDSN	ENSG00000237165	CDSN	0
PCDHB13	ENSG00000187372	PCDHB13	0
MPP2	ENSG00000108852	MPP2	0
TTBK1	ENSG00000146216	TTBK1	0
BTLA	ENSG00000186265	BTLA	0
ULK4P3	ENSG00000282509	ULK4P3	0
IRAK2	ENSG00000134070	IRAK2	0
ITGB4	ENSG00000132470	ITGB4	0
PSD	ENSG00000059915	PSD	0
CNIH2	ENSG00000174871	CNIH2	0
KCNK12	ENSG00000184261	KCNK12	0
FAM194A	unmapped-none	FAM194A	0
ADAM28	ENSG00000042980	ADAM28	0
TMOD1	ENSG00000136842	TMOD1	0
FBXO32	ENSG00000156804	FBXO32	0
GPR97	unmapped-none	GPR97	0
DUSP1	ENSG00000120129	DUSP1	0
ESPN	ENSG00000187017	ESPN	0
EDN1	ENSG00000078401	EDN1	0
CFH	ENSG00000000971	CFH	0
NIPA1	ENSG00000170113	NIPA1	0
APOL1	ENSG00000100342	APOL1	0
SLC7A11	ENSG00000151012	SLC7A11	0
CTGF	ENSG00000118523	CTGF	0
DDO	ENSG00000203797	DDO	0
KRT86	ENSG00000170442	KRT86	0
LINC00346	ENSG00000255874	LINC00346	0
LGI4	ENSG00000153902	LGI4	0
TYRO3	ENSG00000092445	TYRO3	0
TRO	ENSG00000067445	TRO	0
GLIS3	ENSG00000107249	GLIS3	1
FAM46B	ENSG00000158246	FAM46B	0
ASGR1	ENSG00000141505	ASGR1	0
FOSL1	ENSG00000175592	FOSL1	1
MAST1	ENSG00000105613	MAST1	0
VSTM4	ENSG00000165633	VSTM4	0
AASS	ENSG00000008311	AASS	0
CADPS2	ENSG00000081803	CADPS2	0
SATB1	ENSG00000182568	SATB1	1
CYR61	ENSG00000142871	CYR61	0
CCNJL	ENSG00000135083	CCNJL	0
RNF152	ENSG00000176641	RNF152	0
TMPRSS5	ENSG00000166682	TMPRSS5	0
RHBDL2	ENSG00000158315	RHBDL2	0
MPZ	ENSG00000158887	MPZ	0
RGS2	ENSG00000116741	RGS2	0
DUSP10	ENSG00000143507	DUSP10	0
AMIGO2	ENSG00000139211	AMIGO2	0
AADAT	ENSG00000109576	AADAT	0
MURC	ENSG00000170681	MURC	0
LINC00242	ENSG00000280868	LINC00242	0
TNFAIP2	ENSG00000185215	TNFAIP2	0
RASL10B	ENSG00000270885	RASL10B	0
PRRT1	ENSG00000238056	PRRT1	0
NACAD	ENSG00000136274	NACAD	0
RAPGEF3	ENSG00000079337	RAPGEF3	0
SDCBP2	ENSG00000125775	SDCBP2	0
BEND5	ENSG00000162373	BEND5	0
KCND2	ENSG00000184408	KCND2	0
BAI2	unmapped-none	BAI2	0
TXLNB	ENSG00000164440	TXLNB	0
WFDC2	ENSG00000101443	WFDC2	0
UGT1A7	ENSG00000244122	UGT1A7	0
TPBG	ENSG00000283085	TPBG	0
SV2A	ENSG00000159164	SV2A	0
ZNF781	ENSG00000196381	ZNF781	1
CDKN2B	ENSG00000147883	CDKN2B	0
PRDM5	ENSG00000138738	PRDM5	1
LOC388242	unmapped-none	LOC388242	0
TUBB2A	ENSG00000137267	TUBB2A	0
CARD9	ENSG00000187796	CARD9	0
ACSL5	ENSG00000197142	ACSL5	0
ESR2	ENSG00000140009	ESR2	1
TUBB3	ENSG00000258947	TUBB3	0
RBPMS2	ENSG00000166831	RBPMS2	0
SLC16A4	ENSG00000168679	SLC16A4	0
NAP1L3	ENSG00000186310	NAP1L3	0
ALDH1A1	ENSG00000165092	ALDH1A1	0
TMEFF1	ENSG00000241697	TMEFF1	0
DHRS3	ENSG00000162496	DHRS3	0
RAB39B	ENSG00000155961	RAB39B	0
WIPF3	ENSG00000122574	WIPF3	0
WNT5A	ENSG00000114251	WNT5A	0
IQCJ	ENSG00000214216	IQCJ	0
FLJ42289	unmapped-none	FLJ42289	0
KHDC1	ENSG00000135314	KHDC1	0
NDRG4	ENSG00000103034	NDRG4	0
PPARG	ENSG00000132170	PPARG	1
PCDHB14	ENSG00000120327	PCDHB14	0
SNORA50	ENSG00000281910	SNORA50	0
ZFP36	ENSG00000128016	ZFP36	0
CCR10	ENSG00000184451	CCR10	0
C17orf96	unmapped-none	C17orf96	0
PPM1L	ENSG00000163590	PPM1L	0
FGF2	ENSG00000138685	FGF2	0
CCDC68	ENSG00000166510	CCDC68	0
FAM169A	ENSG00000198780	FAM169A	0
RAG1	ENSG00000166349	RAG1	0
SKAP1	ENSG00000141293	SKAP1	0
NQO1	ENSG00000181019	NQO1	0
MLLT11	ENSG00000213190	MLLT11	0
ERC2	ENSG00000187672	ERC2	0
TUBA4A	ENSG00000127824	TUBA4A	0
FAM19A2	ENSG00000198673	FAM19A2	0
ITGA2	ENSG00000164171	ITGA2	0
TESC	ENSG00000088992	TESC	0
DUSP5	ENSG00000138166	DUSP5	0
RBP5	ENSG00000139194	RBP5	0
MYBL2	ENSG00000101057	MYBL2	1
LOC728819	unmapped-none	LOC728819	0
ST6GALNAC3	ENSG00000184005	ST6GALNAC3	0
WASF3	ENSG00000132970	WASF3	0
CCDC36	ENSG00000173421	CCDC36	0
EPN3	ENSG00000049283	EPN3	0
ANXA1	ENSG00000135046	ANXA1	0
CLIP3	ENSG00000105270	CLIP3	0
MDK	ENSG00000110492	MDK	0
REEP2	ENSG00000132563	REEP2	0
PLCB1	ENSG00000182621	PLCB1	0
FADS1	ENSG00000149485	FADS1	0
ITGB8	ENSG00000105855	ITGB8	0
LDLR	ENSG00000130164	LDLR	0
CDKN1C	ENSG00000129757	CDKN1C	0
EHF	ENSG00000135373	EHF	1
DBIL5P	ENSG00000231784	DBIL5P	0
F3	ENSG00000117525	F3	0
PCDHB4	ENSG00000081818	PCDHB4	0
GAGE10	ENSG00000215274	GAGE10	0
EFHA2	unmapped-none	EFHA2	0
LOC115110	unmapped-none	LOC115110	0
MGLL	ENSG00000074416	MGLL	0
AIM1	ENSG00000112297	AIM1	0
CPNE8	ENSG00000139117	CPNE8	0
SPI1	ENSG00000066336	SPI1	1
GNG3	ENSG00000162188	GNG3	0
DNAJC6	ENSG00000116675	DNAJC6	0
ZMYND15	ENSG00000141497	ZMYND15	0
EDARADD	ENSG00000186197	EDARADD	0
GPR132	ENSG00000183484	GPR132	0
MAGED4B	ENSG00000187243	MAGED4B	0
ANO9	ENSG00000185101	ANO9	0
DZIP1L	ENSG00000158163	DZIP1L	0
KIF17	ENSG00000117245	KIF17	0
CCDC152	ENSG00000198865	CCDC152	0
WHAMMP3	ENSG00000276141	WHAMMP3	0
ALDH3B1	ENSG00000006534	ALDH3B1	0
GATM	ENSG00000171766	GATM	0
NFATC1	ENSG00000131196	NFATC1	1
LOC389634	unmapped-none	LOC389634	0
C14orf37	ENSG00000139971	C14orf37	0
CLCN4	ENSG00000073464	CLCN4	0
STEAP3	ENSG00000115107	STEAP3	0
IER3	ENSG00000237155	IER3	0
ABCG2	ENSG00000118777	ABCG2	0
RAP1GAP	ENSG00000076864	RAP1GAP	0
PABPC4L	ENSG00000254535	PABPC4L	0
TMEM173	ENSG00000184584	TMEM173	0
SNAI1	ENSG00000124216	SNAI1	1
CABYR	ENSG00000154040	CABYR	0
BMP6	ENSG00000153162	BMP6	0
HSP90AB2P	ENSG00000205940	HSP90AB2P	0
ZNF238	unmapped-none	ZNF238	0
FAM24B	ENSG00000213185	FAM24B	0
CITED4	ENSG00000179862	CITED4	0
SOCS3	ENSG00000184557	SOCS3	0
STEAP2	ENSG00000157214	STEAP2	0
C20orf202	ENSG00000215595	C20orf202	0
JUNB	ENSG00000171223	JUNB	1
PLEKHA6	ENSG00000143850	PLEKHA6	0
C15orf27	unmapped-none	C15orf27	0
HDAC9	ENSG00000048052	HDAC9	0
ATP8A1	ENSG00000124406	ATP8A1	0
VWA5A	ENSG00000110002	VWA5A	0
TUBA1A	ENSG00000167552	TUBA1A	0
PPP1R3A	ENSG00000154415	PPP1R3A	0
PLEKHG2	ENSG00000090924	PLEKHG2	0
EGFR	ENSG00000146648	EGFR	0
KRTAP12-1	ENSG00000187175	KRTAP12-1	0
BCL3	ENSG00000069399	BCL3	1
C10orf10	ENSG00000165507	C10orf10	0
CHRNE	ENSG00000108556	CHRNE	0
STON2	ENSG00000140022	STON2	0
FKBP1B	ENSG00000119782	FKBP1B	0
AS3MT	ENSG00000214435	AS3MT	0
C10orf11	ENSG00000148655	C10orf11	0
RIPK3	ENSG00000129465	RIPK3	0
RASAL1	ENSG00000111344	RASAL1	0
ZC3H12C	ENSG00000149289	ZC3H12C	0
LDB3	ENSG00000122367	LDB3	0
VDR	ENSG00000111424	VDR	1
RNF125	ENSG00000101695	RNF125	0
DST	ENSG00000151914	DST	0
GPR137C	ENSG00000180998	GPR137C	0
ARHGAP42	ENSG00000165895	ARHGAP42	0
LOC100271722	unmapped-none	LOC100271722	0
LOC645166	ENSG00000283196	LOC645166	0
RNF150	ENSG00000170153	RNF150	0
HSPA2	ENSG00000126803	HSPA2	0
TCF7	ENSG00000081059	TCF7	1
SGPP2	ENSG00000163082	SGPP2	0
ME1	ENSG00000065833	ME1	0
PLA2G16	ENSG00000176485	PLA2G16	0
GPRASP1	ENSG00000198932	GPRASP1	0
ARRDC4	ENSG00000140450	ARRDC4	0
CCDC163P	unmapped-none	CCDC163P	0
HIC1	ENSG00000177374	HIC1	1
ATP8B1	ENSG00000081923	ATP8B1	0
C8orf22	ENSG00000168333	C8orf22	0
GADD45B	ENSG00000099860	GADD45B	0
TLR3	ENSG00000164342	TLR3	0
RIN1	ENSG00000174791	RIN1	0
NDRG1	ENSG00000104419	NDRG1	0
ITGB7	ENSG00000139626	ITGB7	0
FLJ43663	unmapped-none	FLJ43663	0
CASP10	ENSG00000003400	CASP10	0
TMEM139	ENSG00000178826	TMEM139	0
SEC14L2	ENSG00000100003	SEC14L2	0
OR2A12	ENSG00000221858	OR2A12	0
PRKD1	ENSG00000184304	PRKD1	0
TLR5	ENSG00000187554	TLR5	0
LRRK1	ENSG00000154237	LRRK1	0
NIPAL2	ENSG00000104361	NIPAL2	0
DUSP2	ENSG00000158050	DUSP2	0
LGALS9	ENSG00000168961	LGALS9	0
SLC2A9	ENSG00000109667	SLC2A9	0
SIAE	ENSG00000110013	SIAE	0
PHLDA3	ENSG00000174307	PHLDA3	0
PAX8	ENSG00000125618	PAX8	1
SYT11	ENSG00000132718	SYT11	0
LEPR	ENSG00000116678	LEPR	0
NREP	ENSG00000134986	NREP	0
RAI2	ENSG00000131831	RAI2	0
CDCP1	ENSG00000163814	CDCP1	0
PDK4	ENSG00000004799	PDK4	0
APBA1	ENSG00000276497	APBA1	0
CD55	ENSG00000196352	CD55	0
CARD6	ENSG00000132357	CARD6	0
NEDD4	ENSG00000069869	NEDD4	0
KCTD12	ENSG00000178695	KCTD12	0
KITLG	ENSG00000049130	KITLG	0
MYOF	ENSG00000138119	MYOF	0
CDYL2	ENSG00000166446	CDYL2	0
PRKAR2B	ENSG00000284096	PRKAR2B	0
MAFF	ENSG00000185022	MAFF	1
TBL1X	ENSG00000101849	TBL1X	0
C20orf160	unmapped-none	C20orf160	0
LGALS3	ENSG00000131981	LGALS3	0
VLDLR	ENSG00000147852	VLDLR	0
TRIM47	ENSG00000132481	TRIM47	0
BACE2	ENSG00000182240	BACE2	0
EPHA1	ENSG00000146904	EPHA1	0
ERRFI1	ENSG00000116285	ERRFI1	0
CCDC110	ENSG00000168491	CCDC110	0
ARHGAP26	ENSG00000145819	ARHGAP26	0
KIAA1671	ENSG00000197077	KIAA1671	0
IER2	ENSG00000160888	IER2	0
SPECC1	ENSG00000128487	SPECC1	0
LRP8	ENSG00000157193	LRP8	0
SCML2	ENSG00000102098	SCML2	0
RNASE4	ENSG00000258818	RNASE4	0
NHLRC1	ENSG00000187566	NHLRC1	0
STOX2	ENSG00000173320	STOX2	0
RANBP17	ENSG00000204764	RANBP17	0
SMARCA2	ENSG00000080503	SMARCA2	0
C18orf1	unmapped-none	C18orf1	0
SOCS2	ENSG00000120833	SOCS2	0
GNAI1	ENSG00000127955	GNAI1	0
OSBP2	ENSG00000184792	OSBP2	0
ST6GAL1	ENSG00000073849	ST6GAL1	0
CST8	ENSG00000125815	CST8	0
LY75	ENSG00000054219	LY75	0
MYO1B	ENSG00000128641	MYO1B	0
TUSC3	ENSG00000104723	TUSC3	0
CLCN5	ENSG00000171365	CLCN5	0
EPB41L2	ENSG00000079819	EPB41L2	0
HBEGF	ENSG00000113070	HBEGF	0
CEBPD	ENSG00000221869	CEBPD	1
IFI16	ENSG00000163565	IFI16	0
ZC3H12A	ENSG00000163874	ZC3H12A	0
RORA	ENSG00000069667	RORA	1
AKD1	unmapped-none	AKD1	0
PTPRN2	ENSG00000282185	PTPRN2	0
KIF7	ENSG00000166813	KIF7	0
SIK1	ENSG00000142178	SIK1	0
CAV2	ENSG00000105971	CAV2	0
TIAF1	ENSG00000221995	TIAF1	0
TSPY26P	ENSG00000235217	TSPY26P	0
DENND5B	ENSG00000170456	DENND5B	0
PRKX	ENSG00000183943	PRKX	0
PHGDH	ENSG00000092621	PHGDH	0
ITPR1	ENSG00000150995	ITPR1	0
ProSAPiP1	unmapped-none	ProSAPiP1	0
AQP11	ENSG00000178301	AQP11	0
PLCL2	ENSG00000284017	PLCL2	0
APOL2	ENSG00000128335	APOL2	0
RASGEF1B	ENSG00000138670	RASGEF1B	0
CISH	ENSG00000114737	CISH	0
TNFRSF10A	ENSG00000104689	TNFRSF10A	0
CDC42EP1	ENSG00000128283	CDC42EP1	0
