Gene	Ensembl	regulator	Gene.synonym	Gene.description
SNX19	ENSG00000120451	0	CHET8, KIAA0254	Sorting nexin 19
KCNJ5	ENSG00000120457	0	CIR, GIRK4, KATP1, Kir3.4, LQT13	Potassium inwardly rectifying channel subfamily J member 5
MSANTD2	ENSG00000120458	0	C11orf61, FLJ23342	Myb/SANT DNA binding domain containing 2
TP53AIP1	ENSG00000120471	0	p53AIP1	Tumor protein p53 regulated apoptosis inducing protein 1
TEX11	ENSG00000120498	0	MZIP4, Spo22, TGC1, TSGA3, ZIP4	Testis expressed 11
ARR3	ENSG00000120500	0	ARRX	Arrestin 3
PDZD11	ENSG00000120509	0	PDZK11	PDZ domain containing 11
SLC10A7	ENSG00000120519	0	C4orf13, DKFZp313H0531, DKFZp566M114, DKFZp779O2438, MGC25043	Solute carrier family 10 member 7
NUDCD1	ENSG00000120526	0	CML66, FLJ14991	NudC domain containing 1
ENY2	ENSG00000120533	0	DC6, FLJ20480, Sus1	ENY2 transcription and export complex 2 subunit
MASTL	ENSG00000120539	0	FLJ14813, Gwl, THC2	Microtubule associated serine/threonine kinase like
KIAA1217	ENSG00000120549	0	DKFZP761L0424, ETL4, SKT	KIAA1217
LYZL1	ENSG00000120563	0	LYC2, MGC33408	Lysozyme like 1
PLXDC2	ENSG00000120594	0	FLJ14623, TEM7R	Plexin domain containing 2
EPC1	ENSG00000120616	0	Epl1	Enhancer of polycomb homolog 1
IQSEC3	ENSG00000120645	0	KIAA1110, MGC30156	IQ motif and Sec7 domain ArfGEF 3
CCDC77	ENSG00000120647	0	MGC13183	Coiled-coil domain containing 77
TAF12	ENSG00000120656	0	TAF2J, TAFII20	TATA-box binding protein associated factor 12
ENOX1	ENSG00000120658	0	cCNOX, CNOX, FLJ10094, PIG38	Ecto-NOX disulfide-thiol exchanger 1
TNFSF11	ENSG00000120659	0	CD254, ODF, OPGL, RANKL, TRANCE	TNF superfamily member 11
MTRF1	ENSG00000120662	0	MGC47721, MTTRF1, RF1	Mitochondrial translation release factor 1
SOHLH2	ENSG00000120669	1	bHLHe81, FLJ20449, SPATA28, TEB1	Spermatogenesis and oogenesis specific basic helix-loop-helix 2
DNAJC15	ENSG00000120675	0	DNAJD1, MCJ	DnaJ heat shock protein family (Hsp40) member C15
PROSER1	ENSG00000120685	0	bA50D16.2, C13orf23, FLJ12661	Proline and serine rich 1
UFM1	ENSG00000120686	0	bA131P10.1, C13orf20	Ubiquitin fold modifier 1
WBP4	ENSG00000120688	0	FBP21, MGC117310	WW domain binding protein 4
ELF1	ENSG00000120690	1		E74 like ETS transcription factor 1
SMAD9	ENSG00000120693	1	MADH6, MADH9, SMAD8, SMAD8/9	SMAD family member 9
HSPH1	ENSG00000120694	0	HSP105A, HSP105B, KIAA0201, NY-CO-25	Heat shock protein family H (Hsp110) member 1
KBTBD7	ENSG00000120696	0	DKFZP434E2318	Kelch repeat and BTB domain containing 7
ALG5	ENSG00000120697	0	bA421P11.2	ALG5 dolichyl-phosphate beta-glucosyltransferase
EXOSC8	ENSG00000120699	0	bA421P11.3, CIP3, EAP2, OIP2, p9, RRP43, Rrp43p	Exosome component 8
ETF1	ENSG00000120705	0	ERF, ERF1, RF1, SUP45L1, TB3-1	Eukaryotic translation termination factor 1
TGFBI	ENSG00000120708	0	BIGH3, CDB1, CDGG1, CSD1, CSD2, CSD3, LCD1	Transforming growth factor beta induced
FAM53C	ENSG00000120709	0	C5orf6	Family with sequence similarity 53 member C
SIL1	ENSG00000120725	0	BAP, MSS, ULG5	SIL1 nucleotide exchange factor
PAIP2	ENSG00000120727	0	PAIP2A	Poly(A) binding protein interacting protein 2
MYOT	ENSG00000120729	0	LGMD1, LGMD1A, TTID	Myotilin
KDM3B	ENSG00000120733	0	C5orf7, JMJD1B, KIAA1082, NET22	Lysine demethylase 3B
EGR1	ENSG00000120738	1	AT225, G0S30, KROX-24, NGFI-A, TIS8, ZIF-268, ZNF225	Early growth response 1
SERP1	ENSG00000120742	0	FLJ43424, RAMP4	Stress associated endoplasmic reticulum protein 1
PLS1	ENSG00000120756	0	I-plastin, Plastin-1	Plastin 1
ZFP30	ENSG00000120784	1	KIAA0961, ZNF745	ZFP30 zinc finger protein
NR2C1	ENSG00000120798	1	TR2, TR2-11	Nuclear receptor subfamily 2 group C member 1
UTP20	ENSG00000120800	0	1A6/DRIM, DRIM	UTP20 small subunit processome component
TMPO	ENSG00000120802	0	LAP2, LEMD4, TP	Thymopoietin
ARL1	ENSG00000120805	0	ARFL1	ADP ribosylation factor like GTPase 1
GLT8D2	ENSG00000120820	0	FLJ31494	Glycosyltransferase 8 domain containing 2
MTERF2	ENSG00000120832	0	FLJ14062, MTERFD3	Mitochondrial transcription termination factor 2
SOCS2	ENSG00000120833	0	CIS2, Cish2, SOCS-2, SSI-2, SSI2, STATI2	Suppressor of cytokine signaling 2
NFYB	ENSG00000120837	1	CBF-A, HAP3, NF-YB	Nuclear transcription factor Y subunit beta
WASHC3	ENSG00000120860	0	CCDC53, CGI-116	WASH complex subunit 3
APAF1	ENSG00000120868	0	APAF-1, CED4	Apoptotic peptidase activating factor 1
DUSP4	ENSG00000120875	0	HVH2, MKP-2, TYP	Dual specificity phosphatase 4
CLU	ENSG00000120885	0	APOJ, CLI, CLU1, CLU2, KUB1, SGP-2, SP-40, TRPM-2	Clusterin
TNFRSF10B	ENSG00000120889	0	CD262, DR5, KILLER, TRAIL-R2, TRAILR2, TRICK2A, TRICKB	TNF receptor superfamily member 10b
SORBS3	ENSG00000120896	0	SCAM-1, SH3D4, vinexin	Sorbin and SH3 domain containing 3
PTK2B	ENSG00000120899	0	CADTK, CAKB, FAK2, PTK, PYK2, RAFTK	Protein tyrosine kinase 2 beta
CHRNA2	ENSG00000120903	0		Cholinergic receptor nicotinic alpha 2 subunit
ADRA1A	ENSG00000120907	0	ADRA1C, ADRA1L1	Adrenoceptor alpha 1A
PPP3CC	ENSG00000120910	0	CALNA3, PP2Bgamma	Protein phosphatase 3 catalytic subunit gamma
PDLIM2	ENSG00000120913	0		PDZ and LIM domain 2
EPHX2	ENSG00000120915	0	ABHD20	Epoxide hydrolase 2
RNF170	ENSG00000120925	0	ADSA, DKFZP564A022, SNAX1	Ring finger protein 170
NPPB	ENSG00000120937	0		Natriuretic peptide B
UBIAD1	ENSG00000120942	0	SCCD, TERE1	UbiA prenyltransferase domain containing 1
TARDBP	ENSG00000120948	0	ALS10, TDP-43	TAR DNA binding protein
TNFRSF8	ENSG00000120949	0	CD30, D1S166E, KI-1	TNF receptor superfamily member 8
PRAMEF2	ENSG00000120952	0	FLJ43580	PRAME family member 2
ZNF706	ENSG00000120963	0	HSPC038	Zinc finger protein 706
LYPLA1	ENSG00000120992	0	APT-1, LPL1	Lysophospholipase 1
CRISPLD1	ENSG00000121005	0	Cocoacrisp, DKFZp762F133, LCRISP1	Cysteine rich secretory protein LCCL domain containing 1
COPS5	ENSG00000121022	0	CSN5, JAB1, MOV-34, SGN5	COP9 signalosome subunit 5
RDH10	ENSG00000121039	0	SDR16C4	Retinol dehydrogenase 10
EPX	ENSG00000121053	0	EPO, EPP, EPX-PEN	Eosinophil peroxidase
AKAP1	ENSG00000121057	0	AKAP121, AKAP149, AKAP84, D-AKAP1, PPP1R43, PRKA1, S-AKAP84, SAKAP84, TDRD17	A-kinase anchoring protein 1
COIL	ENSG00000121058	0	CLN80, p80-coilin	Coilin
TRIM25	ENSG00000121060	0	EFP, RNF147, ZNF147	Tripartite motif containing 25
SCPEP1	ENSG00000121064	0	RISC	Serine carboxypeptidase 1
SPOP	ENSG00000121067	0	BTBD32, TEF2	Speckle type BTB/POZ protein
TBX2	ENSG00000121068	1		T-box transcription factor 2
SLC35B1	ENSG00000121073	0	UGTREL1	Solute carrier family 35 member B1
TBX4	ENSG00000121075	1		T-box transcription factor 4
TEX14	ENSG00000121101	0	CT113	Testis expressed 14, intercellular bridge forming factor
FAM117A	ENSG00000121104	0		Family with sequence similarity 117 member A
NCAPH	ENSG00000121152	0	BRRN1, CAP-H, hCAP-H	Non-SMC condensin I complex subunit H
LRAT	ENSG00000121207	0	LCA14	Lecithin retinol acyltransferase
TMEM131L	ENSG00000121210	0	DKFZp586H1322, KIAA0922	Transmembrane 131 like
MND1	ENSG00000121211	0	GAJ	Meiotic nuclear divisions 1
TRIM6	ENSG00000121236	0	RNF89	Tripartite motif containing 6
ABCC11	ENSG00000121270	0	MRP8	ATP binding cassette subfamily C member 11
TENT4B	ENSG00000121274	0	PAPD5, TRF4-2, TUT3	Terminal nucleotidyltransferase 4B
ADCY7	ENSG00000121281	0	AC7, KIAA0037	Adenylate cyclase 7
CEP89	ENSG00000121289	0	CCDC123, FLJ14640	Centrosomal protein 89
TSHZ3	ENSG00000121297	1	KIAA1474, TSH3, ZNF537	Teashirt zinc finger homeobox 3
ECHDC2	ENSG00000121310	0	FLJ10948	Enoyl-CoA hydratase domain containing 2
TAS2R8	ENSG00000121314	0	T2R8, TRB5	Taste 2 receptor member 8
PLBD1	ENSG00000121316	0	FLJ22662	Phospholipase B domain containing 1
TAS2R10	ENSG00000121318	0	T2R10, TRB2	Taste 2 receptor member 10
PRB2	ENSG00000121335	0	cP7, PRPPRB1, Ps	Proline rich protein BstNI subfamily 2
PYROXD1	ENSG00000121350	0	DKFZp762G094, FLJ22028	Pyridine nucleotide-disulphide oxidoreductase domain 1
IAPP	ENSG00000121351	0	AMYLIN, DAP, IAP	Islet amyloid polypeptide
KCNJ8	ENSG00000121361	0	Kir6.1	Potassium inwardly rectifying channel subfamily J member 8
TAS2R7	ENSG00000121377	0	T2R7, TRB4	Taste 2 receptor member 7
BCL2L14	ENSG00000121380	0	BCL-G, BCLG	BCL2 like 14
TAS2R9	ENSG00000121381	0	T2R9, TRB6	Taste 2 receptor member 9
PSPC1	ENSG00000121390	1	FLJ10955, PSP1	Paraspeckle component 1
ZNF549	ENSG00000121406	1	FLJ34917	Zinc finger protein 549
A1BG	ENSG00000121410	0		Alpha-1-B glycoprotein
ZSCAN18	ENSG00000121413	0	FLJ12895, ZNF447	Zinc finger and SCAN domain containing 18
ZNF211	ENSG00000121417	1	CH2H2-25, ZNF-25	Zinc finger protein 211
PDZRN3	ENSG00000121440	0	KIAA1095, LNX3, SEMACAP3, SEMCAP3	PDZ domain containing ring finger 3
RGSL1	ENSG00000121446	0	RGSL2	Regulator of G protein signaling like 1
LHX4	ENSG00000121454	1	Gsh4	LIM homeobox 4
RNF2	ENSG00000121481	0	BAP-1, BAP1, DING, HIPI3, RING1B, RING2	Ring finger protein 2
TRMT1L	ENSG00000121486	0	C1orf25	TRNA methyltransferase 1 like
SEC22A	ENSG00000121542	0	SEC22L2	SEC22 homolog A, vesicle trafficking protein
CSTA	ENSG00000121552	0	STF1, STFA	Cystatin A
DPPA4	ENSG00000121570	0	FLJ10713	Developmental pluripotency associated 4
POPDC2	ENSG00000121577	0	POP2	Popeye domain containing 2
B4GALT4	ENSG00000121578	0	beta4Gal-T4	Beta-1,4-galactosyltransferase 4
NAA50	ENSG00000121579	0	FLJ13194, MAK3, NAT13, NAT5, San	N-alpha-acetyltransferase 50, NatE catalytic subunit
CD80	ENSG00000121594	0	B7-1, B7.1, CD28LG, CD28LG1	CD80 molecule
KIF18A	ENSG00000121621	0	DKFZP434G2226, PPP1R99	Kinesin family member 18A
GJA8	ENSG00000121634	0	CAE, CAE1, CX50, CZP1	Gap junction protein alpha 8
DESI2	ENSG00000121644	0	C1orf121, CGI-146, DESI-2, FAM152A, FLJ21998, PNAS-4, PPPDE1	Desumoylating isopeptidase 2
MAPK8IP1	ENSG00000121653	0	IB1, JIP-1, JIP1, PRKM8IP	Mitogen-activated protein kinase 8 interacting protein 1
CRY2	ENSG00000121671	0		Cryptochrome circadian regulator 2
PEX16	ENSG00000121680	0		Peroxisomal biogenesis factor 16
DEPDC7	ENSG00000121690	0		DEP domain containing 7
CAT	ENSG00000121691	0		Catalase
PILRB	ENSG00000121716	0	FDFACT1, FDFACT2	Paired immunoglobin like type 2 receptor beta
ZMYM2	ENSG00000121741	0	FIM, MYM, RAMP, ZNF198	Zinc finger MYM-type containing 2
GJB6	ENSG00000121742	0	CX30, DFNA3, ED2, EDH, HED	Gap junction protein beta 6
GJA3	ENSG00000121743	0	CX46, CZP3	Gap junction protein alpha 3
TBC1D15	ENSG00000121749	0	DKFZp761D0223, FLJ12085	TBC1 domain family member 15
ADGRB2	ENSG00000121753	0	BAI2	Adhesion G protein-coupled receptor B2
HCRTR1	ENSG00000121764	0	OX1R	Hypocretin receptor 1
ZCCHC17	ENSG00000121766	0	HSPC251, pNO40, PS1D	Zinc finger CCHC-type containing 17
FABP3	ENSG00000121769	0	FABP11, H-FABP, MDGI, O-FABP	Fatty acid binding protein 3
KHDRBS1	ENSG00000121774	0	FLJ34027, p62, Sam68	KH RNA binding domain containing, signal transduction associated 1
TMEM39B	ENSG00000121775	0	FLJ10315	Transmembrane protein 39B
CCRL2	ENSG00000121797	0	ACKR5, CKRX, CRAM-A, CRAM-B, HCR	C-C motif chemokine receptor like 2
CCR2	ENSG00000121807	0	CC-CKR-2, CD192, CKR2, CMKBR2, FLJ78302, MCP-1-R	C-C motif chemokine receptor 2
POLR3GL	ENSG00000121851	0	flj32422, MGC3200	RNA polymerase III subunit GL
GHSR	ENSG00000121853	0		Growth hormone secretagogue receptor
TNFSF10	ENSG00000121858	0	Apo-2L, CD253, TL2, TRAIL	TNF superfamily member 10
ZNF639	ENSG00000121864	1	ANC-2H01, ZASC1	Zinc finger protein 639
SLITRK3	ENSG00000121871	0	KIAA0848	SLIT and NTRK like family member 3
PIK3CA	ENSG00000121879	0	PI3K	Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
PDS5A	ENSG00000121892	0	KIAA0648, PIG54, SCC-112	PDS5 cohesin associated factor A
TMEM156	ENSG00000121895	0	FLJ23235	Transmembrane protein 156
LIAS	ENSG00000121897	0	LAS	Lipoic acid synthetase
CPXM2	ENSG00000121898	0	CPX2, UNQ676	Carboxypeptidase X, M14 family member 2
TMEM54	ENSG00000121900	0	CAC-1	Transmembrane protein 54
ZSCAN20	ENSG00000121903	1	KOX29, ZNF31, ZNF360	Zinc finger and SCAN domain containing 20
CSMD2	ENSG00000121904	0	KIAA1884	CUB and Sushi multiple domains 2
HPCA	ENSG00000121905	0	DYT2	Hippocalcin
LRIF1	ENSG00000121931	0	C1orf103, FLJ11269, RIF1	Ligand dependent nuclear receptor interacting factor 1
TMIGD3	ENSG00000121933	0	AD026	Transmembrane and immunoglobulin domain containing 3
CLCC1	ENSG00000121940	0	MCLC	Chloride channel CLIC like 1
GPSM2	ENSG00000121957	0	DFNB82, LGN, Pins	G protein signaling modulator 2
GTDC1	ENSG00000121964	0	FLJ11753, Hmat-Xa	Glycosyltransferase like domain containing 1
CXCR4	ENSG00000121966	0	CD184, D2S201E, fusin, HM89, HSY3RR, LESTR, NPY3R, NPYR, NPYY3R	C-X-C motif chemokine receptor 4
ZRANB3	ENSG00000121988	0	AH2, DKFZP434B1727	Zinc finger RANBP2-type containing 3
ACVR2A	ENSG00000121989	0	ACTRII, ACVR2	Activin A receptor type 2A
POLK	ENSG00000122008	0	DINB1, DINP, POLQ	DNA polymerase kappa
SV2C	ENSG00000122012	0		Synaptic vesicle glycoprotein 2C
FLT3	ENSG00000122025	0	CD135, FLK2, STK1	Fms related receptor tyrosine kinase 3
RPL21	ENSG00000122026	0	DKFZp686C06101, FLJ27458, L21, MGC104274, MGC104275, MGC71252	Ribosomal protein L21
MTIF3	ENSG00000122033	0	IF-3mt, IF3(mt)	Mitochondrial translational initiation factor 3
GTF3A	ENSG00000122034	1	AP2, TFIIIA	General transcription factor IIIA
RASL11A	ENSG00000122035	0		RAS like family 11 member A
UBL3	ENSG00000122042	0	DKFZP434K151, FLJ32018, HCG-1, PNSC1	Ubiquitin like 3
FYTTD1	ENSG00000122068	0	DKFZp761B1514, UIF	Forty-two-three domain containing 1
MTERF4	ENSG00000122085	0	MGC61716, MTERFD2	Mitochondrial transcription termination factor 4
XPNPEP2	ENSG00000122121	0		X-prolyl aminopeptidase 2
SASH3	ENSG00000122122	0	753P9, CXorf9, HACS2, SH3D6C, SLY	SAM and SH3 domain containing 3
OCRL	ENSG00000122126	0	Dent-2, OCRL1	OCRL inositol polyphosphate-5-phosphatase
PAEP	ENSG00000122133	0	GD, GdA, GdF, GdS, MGC138509, MGC142288, PAEG, PEP, PP14	Progestagen associated endometrial protein
OBP2A	ENSG00000122136	0	hOBPIIa, LCN13, OBP	Odorant binding protein 2A
MRPS2	ENSG00000122140	0	CGI-91	Mitochondrial ribosomal protein S2
TBX22	ENSG00000122145	1	CLPA, CPX	T-box transcription factor 22
FMOD	ENSG00000122176	0	SLRR2E	Fibromodulin
MYOG	ENSG00000122180	1	bHLHc3, MYF4	Myogenin
LAX1	ENSG00000122188	0	FLJ20340, LAX	Lymphocyte transmembrane adaptor 1
PLG	ENSG00000122194	0		Plasminogen
KIAA1191	ENSG00000122203	0	FLJ21022, p33MONOX, p60MONOX	KIAA1191
COPA	ENSG00000122218	0	HEP-COP	COPI coat complex subunit alpha
CD244	ENSG00000122223	0	2B4, NAIL, NKR2B4, Nmrk, SLAMF4	CD244 molecule
LY9	ENSG00000122224	0	CD229, hly9, mLY9, SLAMF3	Lymphocyte antigen 9
HS3ST2	ENSG00000122254	0	3OST2	Heparan sulfate-glucosamine 3-sulfotransferase 2
RBBP6	ENSG00000122257	0	P2P-R, PACT, SNAMA	RB binding protein 6, ubiquitin ligase
ZC3H7A	ENSG00000122299	0	FLJ20318, HSPC055, ZC3H7, ZC3HDC7	Zinc finger CCCH-type containing 7A
PRM2	ENSG00000122304	0	CT94.2	Protamine 2
SERAC1	ENSG00000122335	0	FLJ14917	Serine active site containing 1
ANXA11	ENSG00000122359	0	ANX11	Annexin A11
LDB3	ENSG00000122367	0	CMD1C, KIAA0613, PDLIM6, ZASP	LIM domain binding 3
OPN4	ENSG00000122375	0	melanopsin, MOP	Opsin 4
SHLD2	ENSG00000122376	0	bA163M19.1, FAM35A, FAM35A1, MGC5560, RINN2	Shieldin complex subunit 2
PRXL2A	ENSG00000122378	0	Adrx, C10orf58, FAM213A, MGC4248, PAMM	Peroxiredoxin like 2A
ZNF205	ENSG00000122386	1	Zfp13, ZNF210	Zinc finger protein 205
NAA60	ENSG00000122390	0	FLJ14154, NAT15	N-alpha-acetyltransferase 60, NatF catalytic subunit
RPL5	ENSG00000122406	0	L5, PPP1R135, uL18	Ribosomal protein L5
ODF2L	ENSG00000122417	0	KIAA1229	Outer dense fiber of sperm tails 2 like
PTGFR	ENSG00000122420	0	FP	Prostaglandin F receptor
SPATA1	ENSG00000122432	0	SP-2	Spermatogenesis associated 1
TRMT13	ENSG00000122435	0	CCDC76, FLJ10287, FLJ11219	TRNA methyltransferase 13 homolog
LRRC39	ENSG00000122477	0	MGC14816, myomasp	Leucine rich repeat containing 39
RWDD3	ENSG00000122481	0	DKFZP566K023, RSUME	RWD domain containing 3
ZNF644	ENSG00000122482	1	BM-005, KIAA1221, MGC60165, MGC70410	Zinc finger protein 644
CCDC18	ENSG00000122483	0	NY-SAR-41	Coiled-coil domain containing 18
RPAP2	ENSG00000122484	0	C1orf82, FLJ13150, Rtr1	RNA polymerase II associated protein 2
SLC66A2	ENSG00000122490	0	FLJ22378, PQLC1	Solute carrier family 66 member 2
BBS9	ENSG00000122507	0	B1, PTHB1	Bardet-Biedl syndrome 9
PMS2	ENSG00000122512	0	H_DJ0042M02.9, HNPCC4, MLH4, PMSL2	PMS1 homolog 2, mismatch repair system component
ZMIZ2	ENSG00000122515	0	DKFZp761I2123, hZIMP7, KIAA1886, NET27, ZIMP7	Zinc finger MIZ-type containing 2
OCM	ENSG00000122543	0	OCM1	Oncomodulin
SEPTIN7	ENSG00000122545	0	CDC10, CDC3, SEPT7, SEPT7A	Septin 7
EEPD1	ENSG00000122547	0	KIAA1706	Endonuclease/exonuclease/phosphatase family domain containing 1
KLHL7	ENSG00000122550	0	KLHL6, RP42, SBBI26	Kelch like family member 7
HERPUD2	ENSG00000122557	0	FLJ22313	HERPUD family member 2
CBX3	ENSG00000122565	0	HP1Hs-gamma	Chromobox 3
HNRNPA2B1	ENSG00000122566	0	HNRPA2B1	Heterogeneous nuclear ribonucleoprotein A2/B1
WIPF3	ENSG00000122574	0	CR16, FLJ36931	WAS/WASL interacting protein family member 3
NXPH1	ENSG00000122584	0		Neurexophilin 1
NPY	ENSG00000122585	0	PYY4	Neuropeptide Y
FAM126A	ENSG00000122591	0	DRCTNNB1A, HCC, HYCC1, hyccin	Family with sequence similarity 126 member A
HOXA7	ENSG00000122592	1	HOX1, HOX1A	Homeobox A7
INHBA	ENSG00000122641	0		Inhibin subunit beta A
FKBP9	ENSG00000122642	0	FKBP60, FKBP63	FKBP prolyl isomerase 9
NT5C3A	ENSG00000122643	0	cN-III, hUMP1, NT5C3, p36, P5'N-1, PN-I, POMP, PSN1, UMPH, UMPH1	5'-nucleotidase, cytosolic IIIA
ARL4A	ENSG00000122644	0	ARL4	ADP ribosylation factor like GTPase 4A
CCZ1	ENSG00000122674	0	C7orf28A, CCZ1A, CGI-43	CCZ1 homolog, vacuolar protein trafficking and biogenesis associated
POLM	ENSG00000122678	0	Tdt-N	DNA polymerase mu
RAMP3	ENSG00000122679	0		Receptor activity modifying protein 3
MRM2	ENSG00000122687	0	FJH1, FTSJ2, RRMJ2	Mitochondrial rRNA methyltransferase 2
TWIST1	ENSG00000122691	1	ACS3, bHLHa38, BPES2, BPES3, CRS, CRS1, H-twist, SCS, TWIST	Twist family bHLH transcription factor 1
SMU1	ENSG00000122692	0	BWD, FLJ10805, fSAP57, SMU-1	SMU1 DNA replication regulator and spliceosomal factor
GLIPR2	ENSG00000122694	0	C9orf19, GAPR-1	GLI pathogenesis related 2
SLC25A51	ENSG00000122696	0	CG7943, MCART1, MGC14836	Solute carrier family 25 member 51
CLTA	ENSG00000122705	0	Lca	Clathrin light chain A
RECK	ENSG00000122707	0	hRECK, ST15	Reversion inducing cysteine rich protein with kazal motifs
SPINK4	ENSG00000122711	0	MGC133107, PEC-60	Serine peptidase inhibitor Kazal type 4
TAF1L	ENSG00000122728	0		TATA-box binding protein associated factor 1 like
ACO1	ENSG00000122729	0	IREB1, IREBP, IRP1	Aconitase 1
PHF24	ENSG00000122733	0	KIAA1045	PHD finger protein 24
DNAI1	ENSG00000122735	0	CILD1, DIC1, PCD	Dynein axonemal intermediate chain 1
DCAF10	ENSG00000122741	0	FLJ23201, MGC10765, WDR32	DDB1 and CUL4 associated factor 10
CNTFR	ENSG00000122756	0		Ciliary neurotrophic factor receptor
KIAA1549	ENSG00000122778	0		KIAA1549
TRIM24	ENSG00000122779	0	hTIF1, RNF82, TIF1, Tif1a	Tripartite motif containing 24
CYREN	ENSG00000122783	0	C7orf49, FLJ22450, FLJ27285, MGC5242, MRI, MRI-2	Cell cycle regulator of NHEJ
CALD1	ENSG00000122786	0	CDM, H-CAD, L-CAD	Caldesmon 1
AKR1D1	ENSG00000122787	0	SRD5B1	Aldo-keto reductase family 1 member D1
NUDT10	ENSG00000122824	0	DIPP3a, hDIPP3alpha	Nudix hydrolase 10
SFTPA1	ENSG00000122852	0	COLEC4, SFTP1, SP-A, SP-A1	Surfactant protein A1
NEUROG3	ENSG00000122859	1	Atoh5, bHLHa7, Math4B, ngn3	Neurogenin 3
PLAU	ENSG00000122861	0	UPA, URK	Plasminogen activator, urokinase
SRGN	ENSG00000122862	0	PPG, PRG, PRG1	Serglycin
CHST3	ENSG00000122863	0	C6ST, C6ST1	Carbohydrate sulfotransferase 3
BICC1	ENSG00000122870	0		BicC family RNA binding protein 1
CISD1	ENSG00000122873	0	C10orf70, MDS029, mitoNEET, ZCD1	CDGSH iron sulfur domain 1
EGR2	ENSG00000122877	1	KROX20	Early growth response 2
ECD	ENSG00000122882	0	GCR2, hSGT1	Ecdysoneless cell cycle regulator
P4HA1	ENSG00000122884	0	C-P4Halpha(I), P4HA	Prolyl 4-hydroxylase subunit alpha 1
SLC25A16	ENSG00000122912	0	D10S105E, GDA, HGT.1, ML7	Solute carrier family 25 member 16
ZWINT	ENSG00000122952	0	KNTC2AP, SIP30, Zwint1	ZW10 interacting kinetochore protein
VPS26A	ENSG00000122958	0	Hbeta58, PEP8A, VPS26	VPS26, retromer complex component A
RBM19	ENSG00000122965	0	DKFZp586F1023, KIAA0682, Mrd1	RNA binding motif protein 19
CIT	ENSG00000122966	0	CITK, CRIK, KIAA0949, STK21	Citron rho-interacting serine/threonine kinase
IFT81	ENSG00000122970	0	CDV-1R, CDV1, MGC4027	Intraflagellar transport 81
ACADS	ENSG00000122971	0	ACAD3, SCAD	Acyl-CoA dehydrogenase short chain
HVCN1	ENSG00000122986	0	Hv1, MGC15619, VSOP	Hydrogen voltage gated channel 1
DDX54	ENSG00000123064	0	APR-5, DP97, MGC2835	DEAD-box helicase 54
MED13L	ENSG00000123066	0	KIAA1025, THRAP2, TRAP240L	Mediator complex subunit 13L
CDKN2C	ENSG00000123080	0	INK4C, p18	Cyclin dependent kinase inhibitor 2C
RNF11	ENSG00000123091	0	CGI-123, MGC51169, Sid1669p	Ring finger protein 11
RASSF8	ENSG00000123094	0	C12orf2, HoJ-1	Ras association domain family member 8
BHLHE41	ENSG00000123095	1	BHLHB3, DEC2, SHARP-1, SHARP1	Basic helix-loop-helix family member e41
SSPN	ENSG00000123096	0	KRAG, SPN1, SPN2	Sarcospan
ITPR2	ENSG00000123104	0	CFAP48, IP3R2	Inositol 1,4,5-trisphosphate receptor type 2
CCDC91	ENSG00000123106	0	DKFZp779L1558, FLJ11088, p56	Coiled-coil domain containing 91
NECAB1	ENSG00000123119	0	EFCBP1	N-terminal EF-hand calcium binding protein 1
WWP1	ENSG00000123124	0	AIP5, DKFZP434D2111	WW domain containing E3 ubiquitin protein ligase 1
ACOT9	ENSG00000123130	0	ACATE2, CGI-16, MT-ACT48	Acyl-CoA thioesterase 9
PRDX4	ENSG00000123131	0	AOE37-2	Peroxiredoxin 4
DDX39A	ENSG00000123136	0	BAT1L, DDX39, DDXL, URH49	DExD-box helicase 39A
PKN1	ENSG00000123143	0	DBK, MGC46204, PAK1, PKN, PRK1, PRKCL1	Protein kinase N1
TRIR	ENSG00000123144	0	C19orf43, fSAP18, MGC2803, TERCIR	Telomerase RNA component interacting RNase
ADGRE5	ENSG00000123146	0	CD97, TM7LN1	Adhesion G protein-coupled receptor E5
WDR83	ENSG00000123154	0	MORG1	WD repeat domain 83
GIPC1	ENSG00000123159	0	C19orf3, GIPC, GLUT1CBP, Hs.6454, NIP, RGS19IP1, SEMCAP, SYNECTIN, TIP-2	GIPC PDZ domain containing family member 1
ACTRT1	ENSG00000123165	0	AIP1, ARIP1, Arp-T1, KIAA0705	Actin related protein T1
CCDC70	ENSG00000123171	0	DKFZP434K1172, FLJ25853	Coiled-coil domain containing 70
SPRYD7	ENSG00000123178	0	C13orf1, CLLD6	SPRY domain containing 7
EBPL	ENSG00000123179	0	EBRP	EBP like
ATP7B	ENSG00000123191	0	WND	ATPase copper transporting beta
ZC3H13	ENSG00000123200	0	DKFZp434D1812, KIAA0853, Xio	Zinc finger CCCH-type containing 13
NLN	ENSG00000123213	0	AGTBP, KIAA1226	Neurolysin
CENPK	ENSG00000123219	0	CENP-K, FKSG14, SOLT	Centromere protein K
OPTN	ENSG00000123240	0	FIP-2, FIP2, GLC1E, HIP7, HYPL, NRP, TFIIIA-INTP	Optineurin
ITIH5	ENSG00000123243	0	MGC10848	Inter-alpha-trypsin inhibitor heavy chain 5
ATF1	ENSG00000123268	1	TREB36	Activating transcription factor 1
